Metric,Group,N,Mean,SD,Mean±SD,Significance
Hardness (N),control,3,50.422333333333334,3.689812235511902,50.422 ± 3.690,a
Hardness (N),5%,4,44.96175,2.4004722278474055,44.962 ± 2.400,a
Hardness (N),10%,3,33.5,0.6600371201682533,33.500 ± 0.660,a
Hardness (N),15%,3,22.832000000000004,1.9180544830635031,22.832 ± 1.918,a
Hardness (N),15% 42%pwd,3,32.814,2.3850995786339815,32.814 ± 2.385,a
Cohesiveness,control,3,0.7723333333333334,0.01703917055884275,0.772 ± 0.017,a
Cohesiveness,5%,4,0.77325,0.019619293225462197,0.773 ± 0.020,a
Cohesiveness,10%,3,0.745,0.006557438524301981,0.745 ± 0.007,a
Cohesiveness,15%,3,0.75,0.031096623610932454,0.750 ± 0.031,a
Cohesiveness,15% 42%pwd,3,0.7546666666666667,0.0247857485933618,0.755 ± 0.025,a
Springiness,control,3,0.7406666666666667,0.010692676621563625,0.741 ± 0.011,a
Springiness,5%,4,0.7324999999999999,0.013625955623979794,0.732 ± 0.014,a
Springiness,10%,3,0.7276666666666666,0.011372481406154652,0.728 ± 0.011,a
Springiness,15%,3,0.6509999999999999,0.03559494346111532,0.651 ± 0.036,a
Springiness,15% 42%pwd,3,0.6970000000000001,0.02099999999999993,0.697 ± 0.021,a
Resilience,control,3,3.705,0.20998095151703658,3.705 ± 0.210,a
Resilience,5%,4,3.555,0.23831631640881562,3.555 ± 0.238,a
Resilience,10%,3,3.2323333333333335,0.11319157801414972,3.232 ± 0.113,a
Resilience,15%,3,3.4006666666666665,0.2794786813575113,3.401 ± 0.279,a
Resilience,15% 42%pwd,3,3.4476666666666667,0.25796188348927335,3.448 ± 0.258,a
Chewiness,control,3,28.828999999999997,1.7497108332521716,28.829 ± 1.750,a
Chewiness,5%,4,25.4795,1.9883109247130677,25.480 ± 1.988,a
Chewiness,10%,3,18.146333333333335,0.23377410749125788,18.146 ± 0.234,a
Chewiness,15%,3,11.110666666666667,0.2959262295460361,11.111 ± 0.296,a
Chewiness,15% 42%pwd,3,17.245,1.3033161550445076,17.245 ± 1.303,a
Adhesiveness,control,3,-8.141,2.5186814010509546,-8.141 ± 2.519,a
Adhesiveness,5%,4,-12.041,2.8634994907164426,-12.041 ± 2.863,a
Adhesiveness,10%,3,-8.623333333333333,2.773596461876408,-8.623 ± 2.774,a
Adhesiveness,15%,3,-7.847,0.20934421415458274,-7.847 ± 0.209,a
Adhesiveness,15% 42%pwd,3,-6.8996666666666675,4.817400163296935,-6.900 ± 4.817,a
Modulus (kPa),control,3,3175.500666666667,195.2346860200137,3175.501 ± 195.235,a
Modulus (kPa),5%,4,2776.885,349.02158530669703,2776.885 ± 349.022,a
Modulus (kPa),10%,3,1845.1743333333334,9.837224930504169,1845.174 ± 9.837,a
Modulus (kPa),15%,3,1442.7673333333332,18.791675745748037,1442.767 ± 18.792,a
Modulus (kPa),15% 42%pwd,3,1987.3580000000002,24.691681858472133,1987.358 ± 24.692,a
