Filename,Group,Peak1 Index,Peak2 Index,Bite1 Start Index,Bite1 End Index,Bite2 Start Index,Bite2 End Index,Peak1 Time (s),Peak2 Time (s),A1 Area (N*s),A2 Area (N*s),A1 Up Area (N*s),A1 Down Area (N*s),Adhesiveness Area (N*s)
260226_DC_TPA_10kN10.csv,10%,113,545,8,364,469,790,22.0399,110.34,1336.4956470067568,987.144598949658,323.1232702011568,1013.3723768056002,-11.817862178999999
260226_DC_TPA_10kN8.csv,10%,121,567,11,378,486,819,23.2001,113.9,1296.060694711852,974.7975653767065,297.4843705107754,998.5763242010765,-6.830347207116048
260226_DC_TPA_10kN9.csv,10%,117,556,9,377,477,807,22.6201,112.08,1345.1553828960896,1000.4980487861628,319.9405227566252,1025.2148601394642,-7.221874241484037
260226_DC_TPA_10kN11.csv,15%,109,534,11,348,469,769,21.3399,108.2,795.5932642724008,618.1584529539396,173.5718509390567,622.0214133333441,-7.702018558060994
260226_DC_TPA_10kN12.csv,15%,115,549,15,353,480,784,22.3602,111.34,784.6959657713562,594.2042316236082,172.86952431625014,611.8264414551059,-7.751694858135862
260226_DC_TPA_10kN13.csv,15%,108,532,9,344,471,765,21.14,107.54,897.7383688581237,642.9660206754064,220.09621656133916,677.6421522967846,-8.087134925789883
260226_DC_TPA_10kN14.csv,15%42%pwd,112,539,10,357,469,779,21.6202,109.06,1170.8367168913737,917.1093856915074,248.08365301937374,922.753063872,-5.054311333
260226_DC_TPA_10kN15.csv,15%42%pwd,110,532,8,352,463,768,21.0598,107.36,1208.2104996420182,899.0686619669025,273.59957834173383,934.6109213002842,-3.2775261948018892
260226_DC_TPA_10kN16.csv,15%42%pwd,111,540,8,356,466,781,21.36,108.58,1339.3829483697227,986.7080588502,318.3728235153227,1021.0101248543999,-12.367097745799999
260226_DC_TPA_10kN4.csv,5%,110,534,8,370,459,788,21.36,108.34,1688.459809670215,1324.18904925943,364.12509163001494,1324.3347180402,-9.279182642070005
260226_DC_TPA_10kN5.csv,5%,111,538,8,367,463,787,21.28,108.16,1727.2607698883817,1321.4912297351048,388.9409360659817,1338.3198338224001,-11.653102079999998
260226_DC_TPA_10kN6.csv,5%,111,541,9,361,466,788,21.6999,109.26,1787.2317685233234,1340.00246245573,415.94107726932305,1371.2906912540002,-11.180862750215868
260226_DC_TPA_10kN7.csv,5%,106,524,8,352,451,767,20.3,105.32,1771.6438310059423,1405.8699441332,365.66709256214233,1405.9767384437998,-16.050704353199997
260226_DC_TPA_10kN1.csv,ctrl,111,551,7,389,473,819,20.96,107.16,1879.0506041506997,1488.9441517052,380.4250912547,1498.625512896,-5.435278833200001
260226_DC_TPA_10kN2.csv,ctrl,108,525,8,365,453,776,20.66,106.28,1983.253088633554,1512.0701262079783,427.1262244544371,1556.126864179117,-8.570965312815296
260226_DC_TPA_10kN3.csv,ctrl,108,526,9,366,452,778,20.7001,106.28,2070.000341620078,1579.0463414985038,456.6134808306569,1613.386860789421,-10.416728579413657
